D_mth,cnt
40,712604
28,667114
11,818148
36,691860
7,800250
5,824252
45,753726
52,696225
1,127307
53,562317
31,637235
4,778749
32,618137
6,818019
39,890208
50,764995
44,763745
15,794223
27,704234
26,723087
10,846300
20,775473
46,736275
51,770796
24,742149
47,768206
9,843124
3,778221
41,694131
13,766874
34,674661
37,697110
21,787162
2,801004
38,696759
12,798703
8,837267
29,686686
43,760012
42,716668
22,756638
19,773040
18,799792
23,740929
30,682947
35,700881
33,663218
14,772777
49,769713
17,808047
48,725773
25,743324
16,809407
